,FIPS,State,Area_Name,POP_ESTIMATE_2018,Deaths_2018,R_death_2018,Less.than.a.high.school.diploma.2014.18,Poverty_PCT_2018,Unemployment_rate_2018,Unemployed_2018,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Total_age65plus,Total_age85plusr,Total.Hospitals..2019.,Total_Female,Total_Male,Male_age65plus,Male_age85plusr,Female_age65plus,Female_age85plusr,Female_age18to64,Male_age18to64,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,H_MALE,H_FEMALE,H_Population,BA_population
2,36001,NY,Albany County,307117,2787,9.1,15030,11.3,3.7,5844,304.1,52073,7767,2.608785015,158384,148733,22335,2484,29738,5283,101041,97644,113130,119942,20610,22783,458,453,10142,10692,9165,9572,18737,43393
3,36003,NY,Allegany County,46430,465,10,3023,17,5.6,1096,304.1,8815,1056,0.39439656,22861,23569,4231,404,4584,652,13793,14432,22486,21882,400,266,75,72,265,336,417,362,779,666
4,36005,NY,Bronx County,1432132,11267,7.8,258956,27.3,5.7,34319,304.1,183375,25827,12.16515042,757232,674900,72069,7711,111306,18116,471648,422417,306074,336533,290408,334392,20043,21683,31135,33312,379958,427270,807228,624800
5,36007,NY,Broome County,191659,2119,11,12313,17.3,4.9,4115,304.1,36542,5908,1.628034681,97419,94240,15940,1981,20602,3927,58933,59194,80932,83932,5964,6008,234,280,4196,4289,4245,4076,8321,11972
6,36009,NY,Cattaraugus County,76840,858,11.1,6110,17.1,5.3,1820,304.1,14729,1846,0.652712291,38692,38148,6860,644,7869,1202,22521,22657,35016,35553,706,472,1280,1446,317,353,831,801,1632,1178
7,36011,NY,Cayuga County,77145,704,9.1,6812,13,4.5,1610,304.1,14750,2020,0.655303093,37623,39522,6856,692,7894,1328,22402,24838,35562,35542,2629,817,217,143,210,289,1455,893,2348,3446
8,36013,NY,Chautauqua County,127939,1417,11,9985,18.3,5,2766,304.1,25704,3772,1.086769362,64774,63165,11553,1291,14151,2481,37812,38426,58766,61038,2076,1456,459,453,400,471,5130,4875,10005,3532
9,36015,NY,Chemung County,84254,942,11.1,5789,13.5,4.7,1649,304.1,15975,2275,0.715690023,42404,41850,7091,783,8884,1492,24670,25580,36245,38211,3502,2007,161,133,599,661,1544,1139,2683,5509
10,36017,NY,Chenango County,47536,546,11.5,4076,15.1,4.7,1047,304.1,9683,1157,0.403791404,23722,23814,4610,450,5073,707,13813,14200,22897,22937,286,210,104,94,152,157,562,500,1062,496
11,36019,NY,Clinton County,80695,729,9,6658,13.2,4.4,1597,304.1,13764,1666,0.685458333,39168,41527,6348,618,7416,1048,24665,27775,37261,36988,2982,685,189,140,458,719,1572,830,2402,3667
12,36021,NY,Columbia County,59916,661,11,4392,11.7,3.3,1043,304.1,14255,1878,0.508952494,29915,30001,6652,732,7603,1146,17467,17836,26848,27164,1793,1348,106,91,543,633,1577,1332,2909,3141
13,36023,NY,Cortland County,47823,421,8.8,2800,16.9,5.1,1165,304.1,7890,1003,0.406229306,24453,23370,3564,339,4326,664,15630,15065,22093,23137,529,417,86,85,200,339,666,644,1310,946
14,36025,NY,Delaware County,44527,567,12.7,3875,15.9,4.8,928,304.1,10902,1332,0.378231652,22031,22496,5287,525,5615,807,12797,13476,21313,21043,588,354,82,84,200,263,905,872,1777,942
15,36027,NY,Dutchess County,293718,2726,9.3,19326,9.2,3.7,5305,304.1,51633,7147,2.494968097,147441,146277,23149,2554,28484,4593,92099,94837,117929,120599,18396,16489,698,670,5346,5792,19039,17631,36670,34885
16,36029,NY,Erie County,919719,9837,10.7,55426,13.7,4.4,19574,304.1,165052,24150,7.812492129,474777,444942,70719,7885,94333,16265,289049,279526,356078,374782,59513,68989,3236,3654,16723,17542,25421,26988,52409,128502
17,36031,NY,Essex County,37300,413,11,2546,11.7,4.9,834,304.1,8743,1104,0.316842379,18045,19255,4170,413,4573,691,10567,11928,17788,17465,918,101,134,62,129,164,835,287,1122,1019
18,36033,NY,Franklin County,50293,523,10.4,4702,16.7,5.2,1014,304.1,8452,1015,0.427210557,22610,27683,4018,395,4434,620,13451,18640,22228,20065,3103,118,1860,1954,124,114,1404,401,1805,3221
19,36035,NY,Fulton County,53591,574,10.7,4872,13,5.1,1166,304.1,10499,1406,0.4552252,26921,26670,4705,435,5794,971,15858,16464,25187,25828,811,414,91,70,167,206,937,794,1731,1225
20,36037,NY,Genesee County,57511,635,11,3277,9.9,4.2,1245,304.1,10750,1532,0.48852338,28900,28611,4828,505,5922,1027,17194,17868,26438,27023,1086,751,320,345,184,196,1072,880,1952,1837
21,36039,NY,Greene County,47491,529,11.1,4523,13,4.5,935,304.1,10508,1232,0.403409154,22637,24854,4993,472,5515,760,13398,15770,21558,21098,2337,660,111,105,324,291,1765,1106,2871,2997
22,36041,NY,Hamilton County,4434,69,15.5,617,9.1,6.8,157,304.1,1386,155,0.037664319,2212,2222,688,58,698,97,1228,1247,2141,2127,29,16,8,6,13,22,34,42,76,45
23,36043,NY,Herkimer County,61833,656,10.6,4407,13.5,4.9,1374,304.1,12815,1714,0.525236323,31242,30591,5900,580,6915,1134,18081,18182,29399,30062,502,393,95,111,143,214,757,620,1377,895
24,36045,NY,Jefferson County,111755,920,8.2,6457,12.3,5.6,2510,304.1,15276,1940,0.949295446,52991,58764,6917,605,8359,1335,31526,38155,50568,47143,4940,2901,404,328,957,920,5100,3601,8701,7841
25,36047,NY,Brooklyn County,2582830,18550,7.2,326469,18.9,4.2,51220,304.1,359246,50414,21.93967836,1359066,1223764,146734,16753,212512,33661,858667,775942,628594,650176,391616,489680,12010,11831,157577,169433,239230,253470,492700,881296
26,36049,NY,Lewis County,26447,265,10,1869,12.2,5.5,647,304.1,4845,617,0.22465229,13049,13398,2306,236,2539,381,7585,7964,13003,12689,115,95,53,37,49,66,290,183,473,210
27,36051,NY,Livingston County,63227,542,8.6,4403,12.5,4.3,1333,304.1,11307,1503,0.537077564,31467,31760,5165,534,6142,969,19870,20895,29328,29866,1416,465,135,99,369,490,1346,964,2310,1881
28,36053,NY,Madison County,70795,614,8.7,4215,10.8,4.8,1564,304.1,12955,1559,0.601363438,35862,34933,6035,568,6920,991,22355,22022,33096,34008,720,640,236,297,287,351,847,807,1654,1360
29,36055,NY,Monroe County,742474,6697,9,49470,14.4,4.3,15459,304.1,128049,18320,6.306896216,384109,358365,55483,6207,72566,12113,236069,224142,277563,293137,56035,64546,1477,1602,13244,14328,32855,34209,67064,120581
30,36057,NY,Montgomery County,49455,544,11,4852,15.8,5.1,1155,304.1,9203,1464,0.420092222,25105,24350,4182,496,5021,968,14634,14370,22596,23464,864,732,143,158,193,254,3631,3738,7369,1596
