"","fips","County","State","year","pm25"
"2",36001,"albany county","NY",2014,7.3518655684636
"3",36001,"albany county","NY",2015,7.25131614911484
"4",36001,"albany county","NY",2016,5.6236532447753
"5",36001,"albany county","NY",2003,11.2521793930082
"6",36001,"albany county","NY",2004,10.4096433103985
"7",36001,"albany county","NY",2005,10.9910340773673
"8",36001,"albany county","NY",2006,9.40413609050741
"9",36001,"albany county","NY",2007,9.87250553016337
"10",36001,"albany county","NY",2008,9.1981589049058
"11",36001,"albany county","NY",2009,8.06283974214697
"12",36001,"albany county","NY",2010,7.74154278063823
"13",36001,"albany county","NY",2011,8.81075233580685
"14",36001,"albany county","NY",2012,7.5149729983671
"15",36001,"albany county","NY",2000,11.2285468443603
"16",36001,"albany county","NY",2001,11.2567632221118
"17",36001,"albany county","NY",2002,11.2430960228068
"18",36001,"albany county","NY",2013,7.36813960844721
"19",36003,"allegany county","NY",2008,7.07133727210731
"20",36003,"allegany county","NY",2009,5.70910063934323
"21",36003,"allegany county","NY",2011,5.95067511832545
"22",36003,"allegany county","NY",2000,8.96971875284346
"23",36003,"allegany county","NY",2001,8.73321459554441
"24",36003,"allegany county","NY",2010,5.59795645770516
"25",36003,"allegany county","NY",2003,8.44725555049295
"26",36003,"allegany county","NY",2004,7.81651848104314
"27",36003,"allegany county","NY",2005,8.67446418645269
"28",36003,"allegany county","NY",2002,9.0081359895658
"29",36003,"allegany county","NY",2006,6.78770091804391
"30",36003,"allegany county","NY",2007,7.54255007886709
"31",36003,"allegany county","NY",2012,5.39822079881525
"32",36003,"allegany county","NY",2013,6.11024010696459
"33",36003,"allegany county","NY",2014,6.09318437746185
"34",36003,"allegany county","NY",2015,5.36034781810357
"35",36003,"allegany county","NY",2016,4.48967182782878
"36",36005,"bronx county","NY",2006,13.159146300114
"37",36005,"bronx county","NY",2007,13.6162766883265
"38",36005,"bronx county","NY",2008,12.3286342520496
"39",36005,"bronx county","NY",2005,14.7334765382461
"40",36005,"bronx county","NY",2001,15.5019376450882
"41",36005,"bronx county","NY",2002,14.6545496084195
"42",36005,"bronx county","NY",2003,14.3732571227369
"43",36005,"bronx county","NY",2004,13.2664460512189
"44",36005,"bronx county","NY",2015,9.25840780398959
"45",36005,"bronx county","NY",2016,7.89077357174514
"46",36005,"bronx county","NY",2010,10.5595005009955
"47",36005,"bronx county","NY",2011,11.2184374020769
"48",36005,"bronx county","NY",2000,15.708343392033
"49",36005,"bronx county","NY",2009,11.0826074389033
"50",36005,"bronx county","NY",2014,8.91028736647073
"51",36005,"bronx county","NY",2013,9.02953009749904
"52",36005,"bronx county","NY",2012,9.38946726210229
"53",36007,"broome county","NY",2001,10.3886752857771
"54",36007,"broome county","NY",2002,10.1264231048501
"55",36007,"broome county","NY",2000,10.4654707017788
"56",36007,"broome county","NY",2008,8.2254062840948
"57",36007,"broome county","NY",2009,7.32503004636873
"58",36007,"broome county","NY",2015,7.14710198594458
"59",36007,"broome county","NY",2012,6.94545655501933
"60",36007,"broome county","NY",2013,7.4474557917006
"61",36007,"broome county","NY",2014,6.99193723171899
"62",36007,"broome county","NY",2006,8.88001781959944
